person_id,first_name,last_name,gender,date_of_birth,age,mobile_number,aadhaar_number,pan_number,district
PER825260,Aarav,Reddy,Female,1972-02-02,29,10255025421,436484888299,BDF0001P,Bengaluru Urban
PER494566,Ananya,Hegde,Other,1979-03-03,40,9906765355,536890309923,CGK0002P,Mysuru
PER998416,Vikram,Murthy,Male,1986-04-04,51,10737158207,191554194005,DJP0003P,Dharwad
PER261124,Meera,Sharma,Female,1993-05-05,62,9608810816,331086368843,EMU0004P,Dakshina Kannada
PER768066,Rohan,Shetty,Other,2000-06-06,73,10201492756,267383173099,FPZ0005P,Belagavi
PER624021,Kavya,Reddy,Male,1969-07-07,27,9177990689,423549956158,GSE0006P,Shivamogga
PER461455,Arjun,Hegde,Female,1976-08-08,38,10104664390,836041028165,HVJ0007P,Kalaburagi
PER450295,Nandini,Murthy,Other,1983-09-09,49,9698725029,247122705622,IYO0008P,Tumakuru
PER731351,Prakash,Sharma,Male,1990-10-10,60,10392649095,524516635447,JBT0009P,Udupi
PER210990,Shruthi,Shetty,Female,1997-11-11,71,9477904456,928797296610,KEY0010P,Kodagu
PER773308,Siddharth,Reddy,Other,1966-12-12,25,10117221942,804580031040,LHD0011P,Bengaluru Urban
PER137859,Deepa,Hegde,Male,1973-01-13,36,9661509460,572956138109,MKI0012P,Mysuru
PER139134,Manoj,Murthy,Female,1980-02-14,47,10908389399,640004752335,NNN0013P,Dharwad
PER192164,Pooja,Sharma,Other,1987-03-15,58,9741838925,801034814508,OQS0014P,Dakshina Kannada
PER377088,Kiran,Shetty,Male,1994-04-16,69,10635589102,499510999988,PTX0015P,Belagavi
PER133140,Aishwarya,Reddy,Female,2001-05-17,23,9389196991,945751276493,QWC0016P,Shivamogga
PER170689,Rahul,Hegde,Other,1970-06-18,34,10815141459,505972213476,RZH0017P,Kalaburagi
PER949282,Divya,Murthy,Male,1977-07-19,45,9189740232,263891375491,SCM0018P,Tumakuru
PER261756,Harish,Sharma,Female,1984-08-20,56,10213467779,775873165768,TFR0019P,Udupi
PER772073,Lakshmi,Shetty,Other,1991-09-21,67,9752793206,129051080289,UIW0020P,Kodagu
PER699978,Aarav,Reddy,Male,1998-10-22,21,10893690730,497125401213,VLB0021P,Bengaluru Urban
PER445593,Ananya,Hegde,Female,1967-11-23,32,9367952891,316993641866,WOG0022P,Mysuru
PER252828,Vikram,Murthy,Other,1974-12-24,43,10424395353,844571104900,XRL0023P,Dharwad
PER163496,Meera,Sharma,Male,1981-01-25,54,9728805540,155748805887,YUQ0024P,Dakshina Kannada
PER122770,Rohan,Shetty,Female,1988-02-26,65,10751360948,288150538317,ZXV0025P,Belagavi
PER344015,Kavya,Reddy,Other,1995-03-27,19,9898230794,492506501978,AAA0026P,Shivamogga
PER131757,Arjun,Hegde,Male,2002-04-01,30,10173395483,236143885987,BDF0027P,Kalaburagi
PER977233,Nandini,Murthy,Female,1971-05-02,41,9552718814,133740286363,CGK0028P,Tumakuru
PER410575,Prakash,Sharma,Other,1978-06-03,52,10714506119,845097298980,DJP0029P,Udupi
PER338512,Shruthi,Shetty,Male,1985-07-04,63,9545066196,402318337978,EMU0030P,Kodagu
PER521130,Siddharth,Reddy,Female,1992-08-05,74,10969243560,513078649126,FPZ0031P,Bengaluru Urban
PER892675,Deepa,Hegde,Other,1999-09-06,28,9846080328,426907943529,GSE0032P,Mysuru
PER642624,Manoj,Murthy,Male,1968-10-07,39,10167015876,685122388969,HVJ0033P,Dharwad
PER194949,Pooja,Sharma,Female,1975-11-08,50,9505241324,987925078113,IYO0034P,Dakshina Kannada
PER773843,Kiran,Shetty,Other,1982-12-09,61,10430540106,884770861501,JBT0035P,Belagavi
PER131735,Aishwarya,Reddy,Male,1989-01-10,72,9610281851,698984757086,KEY0036P,Shivamogga
PER905672,Rahul,Hegde,Female,1996-02-11,26,10790082192,917787445624,LHD0037P,Kalaburagi
PER869687,Divya,Murthy,Other,1965-03-12,37,9587579787,816055441841,MKI0038P,Tumakuru
PER412774,Harish,Sharma,Male,1972-04-13,48,10942205983,339146520236,NNN0039P,Udupi
PER257512,Lakshmi,Shetty,Female,1979-05-14,59,9347060927,171985062068,OQS0040P,Kodagu
PER435769,Aarav,Reddy,Other,1986-06-15,70,10860063823,320370479697,PTX0041P,Bengaluru Urban
PER698612,Ananya,Hegde,Male,1993-07-16,24,9634538953,465776518938,QWC0042P,Mysuru
PER524268,Vikram,Murthy,Female,2000-08-17,35,10768166249,432390530672,RZH0043P,Dharwad
PER554843,Meera,Sharma,Other,1969-09-18,46,9380528194,597664473486,SCM0044P,Dakshina Kannada
PER116035,Rohan,Shetty,Male,1976-10-19,57,10901582375,838166167105,TFR0045P,Belagavi
PER889799,Kavya,Reddy,Female,1983-11-20,68,9516248192,754567623590,UIW0046P,Shivamogga
PER690907,Arjun,Hegde,Other,1990-12-21,22,10165139443,148019053254,VLB0047P,Kalaburagi
PER506329,Nandini,Murthy,Male,1997-01-22,33,9215016302,714484782483,WOG0048P,Tumakuru
PER943792,Prakash,Sharma,Female,1966-02-23,44,10344030993,896188982700,XRL0049P,Udupi
PER150512,Shruthi,Shetty,Other,1973-03-24,55,9464054579,791449783026,YUQ0050P,Kodagu
PER484330,Siddharth,Reddy,Male,1980-04-25,66,10603876900,724716280770,ZXV0051P,Bengaluru Urban
PER612655,Deepa,Hegde,Female,1987-05-26,20,9834295517,880146684178,AAA0052P,Mysuru
PER829795,Manoj,Murthy,Other,1994-06-27,31,10738624750,411087003273,BDF0053P,Dharwad
PER990732,Pooja,Sharma,Male,2001-07-01,42,9345086956,110632721161,CGK0054P,Dakshina Kannada
PER802761,Kiran,Shetty,Female,1970-08-02,53,10318304783,604065170045,DJP0055P,Belagavi
PER789928,Aishwarya,Reddy,Other,1977-09-03,64,9807977494,137949576253,EMU0056P,Shivamogga
PER721985,Rahul,Hegde,Male,1984-10-04,18,10626760728,723650804308,FPZ0057P,Kalaburagi
PER106988,Divya,Murthy,Female,1991-11-05,29,9924507013,644442367618,GSE0058P,Tumakuru
PER386896,Harish,Sharma,Other,1998-12-06,40,10206943032,692833816852,HVJ0059P,Udupi
PER818956,Lakshmi,Shetty,Male,1967-01-07,51,9293466325,251546206049,IYO0060P,Kodagu
PER778511,Aarav,Reddy,Female,1974-02-08,62,10697261357,620009399918,JBT0061P,Bengaluru Urban
PER146564,Ananya,Hegde,Other,1981-03-09,73,9499962528,666013985263,KEY0062P,Mysuru
PER472820,Vikram,Murthy,Male,1988-04-10,27,10745403646,813296543956,LHD0063P,Dharwad
PER497473,Meera,Sharma,Female,1995-05-11,38,9471396252,547896453259,MKI0064P,Dakshina Kannada
PER271979,Rohan,Shetty,Other,2002-06-12,49,10728632410,412679288650,NNN0065P,Belagavi
PER591035,Kavya,Reddy,Male,1971-07-13,60,9277063654,623820262635,OQS0066P,Shivamogga
PER649589,Arjun,Hegde,Female,1978-08-14,71,10878043043,600922889937,PTX0067P,Kalaburagi
PER211229,Nandini,Murthy,Other,1985-09-15,25,9439915854,585182135629,QWC0068P,Tumakuru
PER645802,Prakash,Sharma,Male,1992-10-16,36,10653225262,137406350540,RZH0069P,Udupi
PER547573,Shruthi,Shetty,Female,1999-11-17,47,9111018000,677026780765,SCM0070P,Kodagu
PER581257,Siddharth,Reddy,Other,1968-12-18,58,10791500762,744315030298,TFR0071P,Bengaluru Urban
PER124570,Deepa,Hegde,Male,1975-01-19,69,9708440142,804970944602,UIW0072P,Mysuru
PER340499,Manoj,Murthy,Female,1982-02-20,23,10178761052,992162767483,VLB0073P,Dharwad
PER195345,Pooja,Sharma,Other,1989-03-21,34,9507057943,679027342282,WOG0074P,Dakshina Kannada
PER821088,Kiran,Shetty,Male,1996-04-22,45,10737341070,345667570296,XRL0075P,Belagavi
PER718686,Aishwarya,Reddy,Female,1965-05-23,56,9414708775,499406419950,YUQ0076P,Shivamogga
